4-Hydroxyproline	cis-4-Hydroxyproline	0.0190	0.0110	0.0200	0.0210	0.0430	0.0370	0.0330	0.0280	0.0170	0.0110	0.0140	0.0440	0.0350	0.0230	0.0170	0.0290
5-Hydroxyindoleacetic acid	5-Hydroxyindoleacetic acid																
5-Hydroxy-L-tryptophan	5-Hydroxy-tryptophan																
5-Methyl-DL-Tryptophan	5-Methyl-DL-tryptophan																
6-Phosphogluconic acid	6-Phosphogluconic acid																
D-Glucose	Glucose	0.0320	0.0580	0.0180	0.0510	0.0520	0.0260	0.0480	0.0650	0.0120	0.0290	0.0200	0.0250	0.0290	0.0730	0.0180	0.0170
D-Glucuronic acid	Glucuronic acid																
D-Glycerate 3-phosphate	3-Phosphoglyceric acid																
D-Mannose	Mannose																
D-Mannose 1-phosphate	Mannose 1-phosphate	0.0110	0.0040	0.0050	0.0210	0.0140	0.0120	0.0180	0.0060	0.0010	0.0010	0.0070	0.0050	0.0120	0.0010		0.0110
D-Ribose 5-phosphate	Ribose 5-phosphate	0.0030	0.0020	0.0040	0.0190	0.0110	0.0020	0.0130	0.0040	0.0010	0.0010	0.0040	0.0020	0.0080	0.0010		0.0130
D-Sedoheptulose 7-phosphate	Sedoheptulose 7-phosphate	0.0100	0.0030	0.0070	0.0390	0.0210	0.0120	0.0240	0.0060	0.0010	0.0010	0.0080	0.0060	0.0280	0.0010		0.0270
dUMP	dUMP																
FAD	FAD	0.0010		0.0070	0.0030	0.0020	0.0020	0.0010	0.0010				0.0010	0.0010	0.0010		0.0010
Flavin Mononucleotide	FMN	0.0020		0.0020	0.0090	0.0030	0.0040	0.0030				0.0010	0.0010	0.0020			0.0030
Fructose 1_6-bisphosphate	Fructose 1,6-bisphosphate																
Fructose 6-phosphate	Fructose 6-phosphate	0.0190	0.0060	0.0100	0.0320	0.0210	0.0150	0.0280	0.0080	0.0010	0.0010	0.0080	0.0050	0.0170	0.0020		0.0120
